69 1

1.000000 0.002200 0.000000
0.997867 0.002954 0.000000
0.991487 0.005273 0.000000
0.980913 0.009256 0.000000
0.966236 0.014886 0.000000
0.947582 0.021944 0.000000
0.925109 0.030068 0.000000
0.899009 0.038924 0.000000
0.869504 0.048329 0.000000
0.836848 0.058238 0.000000
0.801317 0.068593 0.000000
0.763216 0.079182 0.000000
0.722869 0.089646 0.000000
0.680621 0.099613 0.000000
0.636831 0.108855 0.000000
0.591875 0.117325 0.000000
0.546134 0.125019 0.000000
0.500000 0.131803 0.000000
0.453866 0.137351 0.000000
0.408125 0.141253 0.000000
0.363169 0.143211 0.000000
0.319379 0.143150 0.000000
0.277131 0.141158 0.000000
0.236784 0.137318 0.000000
0.198683 0.131611 0.000000
0.163152 0.123994 0.000000
0.130496 0.114586 0.000000
0.100991 0.103773 0.000000
0.074891 0.092074 0.000000
0.052418 0.079820 0.000000
0.033764 0.066886 0.000000
0.019087 0.052736 0.000000
0.008513 0.036803 0.000000
0.002133 0.019004 0.000000
0.000000 0.000000 0.000000
0.002133 -0.010002 0.000000
0.008513 -0.020116 0.000000
0.019087 -0.030235 0.000000
0.033764 -0.039968 0.000000
0.052418 -0.048767 0.000000
0.074891 -0.056137 0.000000
0.100991 -0.061823 0.000000
0.130496 -0.065831 0.000000
0.163152 -0.068337 0.000000
0.198683 -0.069539 0.000000
0.236784 -0.069586 0.000000
0.277131 -0.068589 0.000000
0.319379 -0.066683 0.000000
0.363169 -0.064052 0.000000
0.408125 -0.060892 0.000000
0.453866 -0.057347 0.000000
0.500000 -0.053473 0.000000
0.546134 -0.049281 0.000000
0.591875 -0.044807 0.000000
0.636831 -0.040166 0.000000
0.680621 -0.035534 0.000000
0.722869 -0.031078 0.000000
0.763216 -0.026894 0.000000
0.801317 -0.022988 0.000000
0.836848 -0.019330 0.000000
0.869504 -0.015914 0.000000
0.899009 -0.012784 0.000000
0.925109 -0.010016 0.000000
0.947582 -0.007664 0.000000
0.966236 -0.005741 0.000000
0.980913 -0.004230 0.000000
0.991487 -0.003122 0.000000
0.997867 -0.002434 0.000000
1.000000 -0.002200 0.000000
