nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
        74,-2.673708372E-01,-3.010656705E-02, 0.000000000E+00, 0.000000000E+00
        75,-2.574336400E-01,-2.907309854E-02, 0.000000000E+00, 0.000000000E+00
        76,-2.474964427E-01,-2.803963004E-02, 0.000000000E+00, 0.000000000E+00
        77,-9.839402615E-01,-2.774332889E-02, 0.000000000E+00, 0.000000000E+00
        78,-2.375592455E-01,-2.700616154E-02, 0.000000000E+00, 0.000000000E+00
        79,-2.276220483E-01,-2.597269304E-02, 0.000000000E+00, 0.000000000E+00
        80,-2.176848511E-01,-2.493922453E-02, 0.000000000E+00, 0.000000000E+00
        81,-2.077476539E-01,-2.390575603E-02, 0.000000000E+00, 0.000000000E+00
        82,-9.878191652E-01,-2.380330044E-02, 0.000000000E+00, 0.000000000E+00
        83,-1.978104567E-01,-2.287228753E-02, 0.000000000E+00, 0.000000000E+00
        84,-1.878732594E-01,-2.183881903E-02, 0.000000000E+00, 0.000000000E+00
        85,-1.779360622E-01,-2.080535054E-02, 0.000000000E+00, 0.000000000E+00
        86,-9.909700436E-01,-1.988696945E-02, 0.000000000E+00, 0.000000000E+00
        87,-1.679988650E-01,-1.977188204E-02, 0.000000000E+00, 0.000000000E+00
        88,-1.580616678E-01,-1.873841354E-02, 0.000000000E+00, 0.000000000E+00
        89,-1.481244706E-01,-1.770494505E-02, 0.000000000E+00, 0.000000000E+00
        90,-1.381872734E-01,-1.667147655E-02, 0.000000000E+00, 0.000000000E+00
        91,-9.935049544E-01,-1.608508775E-02, 0.000000000E+00, 0.000000000E+00
        92,-1.282500761E-01,-1.563800805E-02, 0.000000000E+00, 0.000000000E+00
        93,-1.183128789E-01,-1.460453955E-02, 0.000000000E+00, 0.000000000E+00
        94,-1.083756817E-01,-1.357107106E-02, 0.000000000E+00, 0.000000000E+00
        95,-9.837176120E-02,-1.252740712E-02, 0.000000000E+00, 0.000000000E+00
        96,-9.956250260E-01,-1.251283254E-02, 0.000000000E+00, 0.000000000E+00
        97,-8.927887157E-02,-1.156356351E-02, 0.000000000E+00, 0.000000000E+00
        98,-8.101260827E-02,-1.068734204E-02, 0.000000000E+00, 0.000000000E+00
        99,-7.349782346E-02,-9.890777069E-03, 0.000000000E+00, 0.000000000E+00
       100,-6.666606098E-02,-9.167948368E-03, 0.000000000E+00, 0.000000000E+00
       101,-9.971437426E-01,-9.055239715E-03, 0.000000000E+00, 0.000000000E+00
       102,-6.045523574E-02,-8.512080827E-03, 0.000000000E+00, 0.000000000E+00
       103,-5.480903098E-02,-7.915837608E-03, 0.000000000E+00, 0.000000000E+00
       104,-4.967611756E-02,-7.373798318E-03, 0.000000000E+00, 0.000000000E+00
       105,-4.500983264E-02,-6.881035327E-03, 0.000000000E+00, 0.000000000E+00
       106,-4.076775543E-02,-6.433068972E-03, 0.000000000E+00, 0.000000000E+00
       107,-3.691132161E-02,-6.025826831E-03, 0.000000000E+00, 0.000000000E+00
       108,-9.984185719E-01,-5.867608447E-03, 0.000000000E+00, 0.000000000E+00
       109,-3.340547268E-02,-5.655606702E-03, 0.000000000E+00, 0.000000000E+00
       110,-3.021833729E-02,-5.319042949E-03, 0.000000000E+00, 0.000000000E+00
       111,-2.732027780E-02,-5.019427328E-03, 0.000000000E+00, 0.000000000E+00
       112,-2.468562822E-02,-4.747533941E-03, 0.000000000E+00, 0.000000000E+00
       113,-2.229049225E-02,-4.500358135E-03, 0.000000000E+00, 0.000000000E+00
       114,-2.011309591E-02,-4.275652857E-03, 0.000000000E+00, 0.000000000E+00
       115,-1.813364469E-02,-4.071375332E-03, 0.000000000E+00, 0.000000000E+00
       116,-1.633414358E-02,-3.885668490E-03, 0.000000000E+00, 0.000000000E+00
       117,-1.469823348E-02,-3.716844089E-03, 0.000000000E+00, 0.000000000E+00
       118,-1.321104248E-02,-3.563367361E-03, 0.000000000E+00, 0.000000000E+00
       119,-1.185905066E-02,-3.423843062E-03, 0.000000000E+00, 0.000000000E+00
       120,-1.062996719E-02,-3.297002791E-03, 0.000000000E+00, 0.000000000E+00
       121,-9.512618579E-03,-3.181693453E-03, 0.000000000E+00, 0.000000000E+00
       122,-8.496847115E-03,-3.076866783E-03, 0.000000000E+00, 0.000000000E+00
       123,-7.573418512E-03,-2.981569809E-03, 0.000000000E+00, 0.000000000E+00
       124,-6.733937964E-03,-2.894936197E-03, 0.000000000E+00, 0.000000000E+00
       125,-9.992307614E-01,-2.854121743E-03, 0.000000000E+00, 0.000000000E+00
       126,-5.970773829E-03,-2.816178368E-03, 0.000000000E+00, 0.000000000E+00
       127,-5.276988252E-03,-2.744580342E-03, 0.000000000E+00, 0.000000000E+00
       128,-4.646274091E-03,-2.679491227E-03, 0.000000000E+00, 0.000000000E+00
       129,-4.072897581E-03,-2.620319304E-03, 0.000000000E+00, 0.000000000E+00
       130,-3.551646208E-03,-2.566526647E-03, 0.000000000E+00, 0.000000000E+00
       131,-3.077781324E-03,-2.517624231E-03, 0.000000000E+00, 0.000000000E+00
       132,-2.646995066E-03,-2.473167490E-03, 0.000000000E+00, 0.000000000E+00
       133,-2.255371194E-03,-2.432752271E-03, 0.000000000E+00, 0.000000000E+00
       134,-1.899349493E-03,-2.396011162E-03, 0.000000000E+00, 0.000000000E+00
       135,-1.575693401E-03,-2.362610154E-03, 0.000000000E+00, 0.000000000E+00
       136,-1.281460590E-03,-2.332245602E-03, 0.000000000E+00, 0.000000000E+00
       137,-1.013976217E-03,-2.304641463E-03, 0.000000000E+00, 0.000000000E+00
       138,-7.708086046E-04,-2.279546792E-03, 0.000000000E+00, 0.000000000E+00
       139,-5.497471388E-04,-2.256733454E-03, 0.000000000E+00, 0.000000000E+00
       140,-3.487821700E-04,-2.235994056E-03, 0.000000000E+00, 0.000000000E+00
       141,-1.660867437E-04,-2.217140058E-03, 0.000000000E+00, 0.000000000E+00
       142, 0.000000000E+00,-2.199999988E-03, 0.000000000E+00, 0.000000000E+00
       143, 0.000000000E+00,-1.885714275E-03, 0.000000000E+00, 0.000000000E+00
       144, 0.000000000E+00,-1.571428563E-03, 0.000000000E+00, 0.000000000E+00
       145, 0.000000000E+00,-1.257142850E-03, 0.000000000E+00, 0.000000000E+00
       146, 0.000000000E+00,-9.428571377E-04, 0.000000000E+00, 0.000000000E+00
       147, 0.000000000E+00,-6.285714252E-04, 0.000000000E+00, 0.000000000E+00
       148, 0.000000000E+00,-3.142857126E-04, 0.000000000E+00, 0.000000000E+00
       149,-9.999691200E-01,-1.145719163E-04, 0.000000000E+00, 0.000000000E+00
       150, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       151, 0.000000000E+00, 3.142857126E-04, 0.000000000E+00, 0.000000000E+00
       152, 0.000000000E+00, 6.285714252E-04, 0.000000000E+00, 0.000000000E+00
       153, 0.000000000E+00, 9.428571377E-04, 0.000000000E+00, 0.000000000E+00
       154, 0.000000000E+00, 1.257142850E-03, 0.000000000E+00, 0.000000000E+00
       155, 0.000000000E+00, 1.571428563E-03, 0.000000000E+00, 0.000000000E+00
       156, 0.000000000E+00, 1.885714275E-03, 0.000000000E+00, 0.000000000E+00
       157, 0.000000000E+00, 2.199999988E-03, 0.000000000E+00, 0.000000000E+00
       158,-1.549091501E-04, 2.259498171E-03, 0.000000000E+00, 0.000000000E+00
       159,-3.253092197E-04, 2.324946161E-03, 0.000000000E+00, 0.000000000E+00
       160,-5.127492962E-04, 2.396938949E-03, 0.000000000E+00, 0.000000000E+00
       161,-1.000364549E+00, 2.434289998E-03, 0.000000000E+00, 0.000000000E+00
       162,-7.189333804E-04, 2.476131017E-03, 0.000000000E+00, 0.000000000E+00
       163,-9.457358729E-04, 2.563242291E-03, 0.000000000E+00, 0.000000000E+00
       164,-1.195218615E-03, 2.659064692E-03, 0.000000000E+00, 0.000000000E+00
       165,-1.469649631E-03, 2.764469334E-03, 0.000000000E+00, 0.000000000E+00
       166,-1.771523748E-03, 2.880414440E-03, 0.000000000E+00, 0.000000000E+00
       167,-2.103585278E-03, 3.007954057E-03, 0.000000000E+00, 0.000000000E+00
       168,-2.468852960E-03, 3.148247635E-03, 0.000000000E+00, 0.000000000E+00
       169,-2.870647411E-03, 3.302570571E-03, 0.000000000E+00, 0.000000000E+00
       170,-3.312621306E-03, 3.472325801E-03, 0.000000000E+00, 0.000000000E+00
       171,-3.798792591E-03, 3.659056553E-03, 0.000000000E+00, 0.000000000E+00
       172,-4.333581005E-03, 3.864460381E-03, 0.000000000E+00, 0.000000000E+00
       173,-4.921848260E-03, 4.090404592E-03, 0.000000000E+00, 0.000000000E+00
       174,-5.568942241E-03, 4.338943224E-03, 0.000000000E+00, 0.000000000E+00
       175,-6.280745619E-03, 4.612335718E-03, 0.000000000E+00, 0.000000000E+00
       176,-1.000555715E+00, 4.771351637E-03, 0.000000000E+00, 0.000000000E+00
       177,-7.063729336E-03, 4.913067463E-03, 0.000000000E+00, 0.000000000E+00
       178,-7.925011424E-03, 5.243872382E-03, 0.000000000E+00, 0.000000000E+00
       179,-8.872421721E-03, 5.607757792E-03, 0.000000000E+00, 0.000000000E+00
       180,-9.914573047E-03, 6.008031744E-03, 0.000000000E+00, 0.000000000E+00
       181,-1.106093951E-02, 6.448333091E-03, 0.000000000E+00, 0.000000000E+00
       182,-1.000602659E+00, 6.902532465E-03, 0.000000000E+00, 0.000000000E+00
       183,-1.232194261E-02, 6.932664573E-03, 0.000000000E+00, 0.000000000E+00
       184,-1.370904603E-02, 7.465429203E-03, 0.000000000E+00, 0.000000000E+00
       185,-1.523485978E-02, 8.051470296E-03, 0.000000000E+00, 0.000000000E+00
       186,-1.691325492E-02, 8.696115498E-03, 0.000000000E+00, 0.000000000E+00
       187,-1.000645335E+00, 8.839969188E-03, 0.000000000E+00, 0.000000000E+00
       188,-1.875948956E-02, 9.405225220E-03, 0.000000000E+00, 0.000000000E+00
       189,-2.079034767E-02, 1.018524591E-02, 0.000000000E+00, 0.000000000E+00
       190,-1.000573830E+00, 1.060025056E-02, 0.000000000E+00, 0.000000000E+00
       191,-2.302429160E-02, 1.104326868E-02, 0.000000000E+00, 0.000000000E+00
       192,-2.548162991E-02, 1.198709372E-02, 0.000000000E+00, 0.000000000E+00
       193,-1.000445728E+00, 1.219669508E-02, 0.000000000E+00, 0.000000000E+00
       194,-2.818470207E-02, 1.302530127E-02, 0.000000000E+00, 0.000000000E+00
       195,-1.000328898E+00, 1.364797819E-02, 0.000000000E+00, 0.000000000E+00
       196,-3.116763217E-02, 1.414214565E-02, 0.000000000E+00, 0.000000000E+00
       197,-1.000117306E+00, 1.518717205E-02, 0.000000000E+00, 0.000000000E+00
       198,-3.446093517E-02, 1.533791471E-02, 0.000000000E+00, 0.000000000E+00
       199,-3.808356846E-02, 1.665326068E-02, 0.000000000E+00, 0.000000000E+00
       200,-9.998606849E-01, 1.671950173E-02, 0.000000000E+00, 0.000000000E+00
       201,-4.206846509E-02, 1.810014124E-02, 0.000000000E+00, 0.000000000E+00
       202,-9.995607145E-01, 1.824393823E-02, 0.000000000E+00, 0.000000000E+00
       203,-4.645185138E-02, 1.969170986E-02, 0.000000000E+00, 0.000000000E+00
       204,-9.992189243E-01, 1.975954646E-02, 0.000000000E+00, 0.000000000E+00
       205,-9.988364016E-01, 2.126539016E-02, 0.000000000E+00, 0.000000000E+00
       206,-5.127357630E-02, 2.144243534E-02, 0.000000000E+00, 0.000000000E+00
       207,-9.984149065E-01, 2.276079340E-02, 0.000000000E+00, 0.000000000E+00
       208,-5.657747371E-02, 2.336823336E-02, 0.000000000E+00, 0.000000000E+00
       209,-9.979576510E-01, 2.424565240E-02, 0.000000000E+00, 0.000000000E+00
       210,-6.241176087E-02, 2.548661119E-02, 0.000000000E+00, 0.000000000E+00
       211,-9.974610041E-01, 2.571780420E-02, 0.000000000E+00, 0.000000000E+00
       212,-9.969322490E-01, 2.717873094E-02, 0.000000000E+00, 0.000000000E+00
       213,-6.882947678E-02, 2.781682682E-02, 0.000000000E+00, 0.000000000E+00
       214,-9.963673056E-01, 2.862604840E-02, 0.000000000E+00, 0.000000000E+00
       215,-9.957684704E-01, 3.005967500E-02, 0.000000000E+00, 0.000000000E+00
       216,-7.592077840E-02, 3.029068802E-02, 0.000000000E+00, 0.000000000E+00
       217,-9.951397695E-01, 3.148045794E-02, 0.000000000E+00, 0.000000000E+00
       218,-9.944800327E-01, 3.288709804E-02, 0.000000000E+00, 0.000000000E+00
       219,-8.372668969E-02, 3.299617733E-02, 0.000000000E+00, 0.000000000E+00
       220,-9.937900901E-01, 3.427917138E-02, 0.000000000E+00, 0.000000000E+00
       221,-9.931013555E-01, 3.555178017E-02, 0.000000000E+00, 0.000000000E+00
       222,-9.233378903E-02, 3.591211077E-02, 0.000000000E+00, 0.000000000E+00
       223,-9.923437346E-01, 3.695164286E-02, 0.000000000E+00, 0.000000000E+00
       224,-9.914532679E-01, 3.845920085E-02, 0.000000000E+00, 0.000000000E+00
       225,-1.018153107E-01, 3.907887349E-02, 0.000000000E+00, 0.000000000E+00
       226,-9.904429470E-01, 4.009892728E-02, 0.000000000E+00, 0.000000000E+00
       227,-9.893127526E-01, 4.189088044E-02, 0.000000000E+00, 0.000000000E+00
       228,-1.113520311E-01, 4.211998071E-02, 0.000000000E+00, 0.000000000E+00
       229,-9.879830446E-01, 4.380474673E-02, 0.000000000E+00, 0.000000000E+00
       230,-1.208887516E-01, 4.516108793E-02, 0.000000000E+00, 0.000000000E+00
       231,-9.864095195E-01, 4.582848869E-02, 0.000000000E+00, 0.000000000E+00
       232,-9.846204122E-01, 4.800808405E-02, 0.000000000E+00, 0.000000000E+00
       233,-1.304254721E-01, 4.820219515E-02, 0.000000000E+00, 0.000000000E+00
       234,-9.826523945E-01, 5.040563847E-02, 0.000000000E+00, 0.000000000E+00
       235,-1.399621926E-01, 5.124330236E-02, 0.000000000E+00, 0.000000000E+00
       236,-9.803740619E-01, 5.294552766E-02, 0.000000000E+00, 0.000000000E+00
       237,-1.494989134E-01, 5.428440970E-02, 0.000000000E+00, 0.000000000E+00
       238,-9.777399155E-01, 5.561908700E-02, 0.000000000E+00, 0.000000000E+00
       239,-1.591022167E-01, 5.710822560E-02, 0.000000000E+00, 0.000000000E+00
       240,-9.748297661E-01, 5.854754358E-02, 0.000000000E+00, 0.000000000E+00
       241,-1.687076827E-01, 5.992467610E-02, 0.000000000E+00, 0.000000000E+00
       242,-9.713979321E-01, 6.152189961E-02, 0.000000000E+00, 0.000000000E+00
       243,-1.783131487E-01, 6.274112659E-02, 0.000000000E+00, 0.000000000E+00
       244,-9.676229180E-01, 6.479368828E-02, 0.000000000E+00, 0.000000000E+00
       245,-1.879186147E-01, 6.555757709E-02, 0.000000000E+00, 0.000000000E+00
       246,-1.975240809E-01, 6.837402764E-02, 0.000000000E+00, 0.000000000E+00
       247,-9.634704026E-01, 6.839265582E-02, 0.000000000E+00, 0.000000000E+00
       248,-2.071720885E-01, 7.104110845E-02, 0.000000000E+00, 0.000000000E+00
       249,-9.586074266E-01, 7.198271376E-02, 0.000000000E+00, 0.000000000E+00
       250,-2.168343256E-01, 7.365616969E-02, 0.000000000E+00, 0.000000000E+00
       251,-9.532174191E-01, 7.587600457E-02, 0.000000000E+00, 0.000000000E+00
       252,-2.264965626E-01, 7.627123094E-02, 0.000000000E+00, 0.000000000E+00
       253,-2.361587997E-01, 7.888629218E-02, 0.000000000E+00, 0.000000000E+00
       254,-9.471386015E-01, 7.994318229E-02, 0.000000000E+00, 0.000000000E+00
       255,-2.458210369E-01, 8.150135346E-02, 0.000000000E+00, 0.000000000E+00
       256,-2.555156460E-01, 8.399372682E-02, 0.000000000E+00, 0.000000000E+00
       257,-9.402678301E-01, 8.412889861E-02, 0.000000000E+00, 0.000000000E+00
       258,-2.652325125E-01, 8.639786395E-02, 0.000000000E+00, 0.000000000E+00
       259,-9.325302110E-01, 8.842421671E-02, 0.000000000E+00, 0.000000000E+00
       260,-2.749493790E-01, 8.880200108E-02, 0.000000000E+00, 0.000000000E+00
       261,-2.846662456E-01, 9.120613821E-02, 0.000000000E+00, 0.000000000E+00
       262,-9.238941796E-01, 9.291718923E-02, 0.000000000E+00, 0.000000000E+00
       263,-2.943831122E-01, 9.361027537E-02, 0.000000000E+00, 0.000000000E+00
       264,-3.041232532E-01, 9.591830916E-02, 0.000000000E+00, 0.000000000E+00
       265,-9.148269905E-01, 9.715788469E-02, 0.000000000E+00, 0.000000000E+00
       266,-3.138937325E-01, 9.809433864E-02, 0.000000000E+00, 0.000000000E+00
       267,-3.236642118E-01, 1.002703681E-01, 0.000000000E+00, 0.000000000E+00
       268,-9.056380672E-01, 1.011279020E-01, 0.000000000E+00, 0.000000000E+00
       269,-3.334346911E-01, 1.024463976E-01, 0.000000000E+00, 0.000000000E+00
       270,-3.432051706E-01, 1.046224271E-01, 0.000000000E+00, 0.000000000E+00
       271,-8.963451340E-01, 1.048479500E-01, 0.000000000E+00, 0.000000000E+00
       272,-3.529921489E-01, 1.067230024E-01, 0.000000000E+00, 0.000000000E+00
       273,-8.869536309E-01, 1.083116269E-01, 0.000000000E+00, 0.000000000E+00
       274,-3.628126007E-01, 1.086610681E-01, 0.000000000E+00, 0.000000000E+00
       275,-3.726330524E-01, 1.105991339E-01, 0.000000000E+00, 0.000000000E+00
       276,-8.775621287E-01, 1.117753036E-01, 0.000000000E+00, 0.000000000E+00
       277,-3.824535041E-01, 1.125371996E-01, 0.000000000E+00, 0.000000000E+00
       278,-3.922739558E-01, 1.144752654E-01, 0.000000000E+00, 0.000000000E+00
       279,-8.680346900E-01, 1.148453601E-01, 0.000000000E+00, 0.000000000E+00
       280,-4.021046092E-01, 1.163608983E-01, 0.000000000E+00, 0.000000000E+00
       281,-8.584682934E-01, 1.177917866E-01, 0.000000000E+00, 0.000000000E+00
       282,-4.119704693E-01, 1.180526949E-01, 0.000000000E+00, 0.000000000E+00
       283,-4.218363294E-01, 1.197444914E-01, 0.000000000E+00, 0.000000000E+00
